ENSP00000307699	ENSG00000006576	PHTF2
ENSP00000391549	ENSG00000176209	C8orf40
ENSP00000245441	ENSG00000100503	NIN
ENSP00000391545	ENSG00000004838	ZMYND10
ENSP00000391546	ENSG00000143393	PI4KB
ENSP00000391540	ENSG00000001631	KRIT1
ENSP00000245448	ENSG00000125375	ATP5S
ENSP00000407297	ENSG00000228760	BAG6
ENSP00000407296	ENSG00000162129	CLPB
ENSP00000407295	ENSG00000225553	PHF1
ENSP00000407294	ENSG00000234046	TRIM26
ENSP00000407293	ENSG00000167491	GATAD2A
ENSP00000407291	ENSG00000236967	RNF39
ENSP00000407299	ENSG00000182197	EXT1
ENSP00000417256	ENSG00000128928	IVD
ENSP00000417257	ENSG00000102531	FNDC3A
ENSP00000417254	ENSG00000175792	RUVBL1
ENSP00000417255	ENSG00000128510	CPA4
ENSP00000417252	ENSG00000106617	PRKAG2
ENSP00000417253	ENSG00000114054	PCCB
ENSP00000417250	ENSG00000121577	POPDC2
ENSP00000417251	ENSG00000136280	CCM2
ENSP00000417258	ENSG00000146842	TMEM209
ENSP00000417259	ENSG00000168936	TMEM129
ENSP00000426716	ENSG00000196104	SPOCK3
ENSP00000426715	ENSG00000038427	VCAN
ENSP00000426713	ENSG00000144908	ALDH1L1
ENSP00000426711	ENSG00000186409	CCDC30
ENSP00000426710	ENSG00000124275	MTRR
ENSP00000255326	ENSG00000132972	RNF17
ENSP00000426718	ENSG00000145321	GC
ENSP00000346708	ENSG00000103145	HCFC1R1
ENSP00000346702	ENSG00000131016	AKAP12
ENSP00000346701	ENSG00000131018	SYNE1
ENSP00000346700	ENSG00000144847	IGSF11
ENSP00000346707	ENSG00000046889	PREX2
ENSP00000376139	ENSG00000141580	WDR45L
ENSP00000376138	ENSG00000064490	RFXANK
ENSP00000376133	ENSG00000198040	ZNF84
ENSP00000376132	ENSG00000128641	MYO1B
ENSP00000376130	ENSG00000128641	MYO1B
ENSP00000376137	ENSG00000115415	STAT1
ENSP00000376136	ENSG00000115415	STAT1
ENSP00000376135	ENSG00000196458	ZNF605
ENSP00000376134	ENSG00000138378	STAT4
ENSP00000412759	ENSG00000215699	BX511012.1
ENSP00000412750	ENSG00000136261	BZW2
ENSP00000390635	ENSG00000131591	C1orf159
ENSP00000412752	ENSG00000237388	OR4A47
ENSP00000390637	ENSG00000141469	SLC14A1
ENSP00000412754	ENSG00000130649	CYP2E1
ENSP00000412755	ENSG00000235960	TRIM15
ENSP00000390632	ENSG00000230885	MOG
ENSP00000390633	ENSG00000120738	EGR1
ENSP00000341286	ENSG00000137491	SLCO2B1
ENSP00000341285	ENSG00000139675	HNRNPA1L2
ENSP00000341282	ENSG00000171772	SYCE1
ENSP00000341280	ENSG00000008083	JARID2
ENSP00000341289	ENSG00000188229	TUBB2C
ENSP00000414752	ENSG00000186951	PPARA
ENSP00000414753	ENSG00000101203	COL20A1
ENSP00000414750	ENSG00000215474	SKOR2
ENSP00000414751	ENSG00000241553	ARPC4
ENSP00000414756	ENSG00000119977	TCTN3
ENSP00000414757	ENSG00000174225	ARL13A
ENSP00000414755	ENSG00000042813	ZPBP
ENSP00000414758	ENSG00000121753	BAI2
ENSP00000274118	ENSG00000145476	CYP4V2
ENSP00000394029	ENSG00000133142	TCEAL4
ENSP00000394028	ENSG00000197208	SLC22A4
ENSP00000422768	ENSG00000204628	GNB2L1
ENSP00000422769	ENSG00000250091	DNAH10OS
ENSP00000394025	ENSG00000133961	NUMB
ENSP00000394024	ENSG00000144306	SCRN3
ENSP00000394027	ENSG00000114735	HEMK1
ENSP00000422762	ENSG00000005700	IBTK
