ENSP00000307699	PHTF2
ENSP00000391549	C8orf40
ENSP00000245441	NIN
ENSP00000391545	ZMYND10
ENSP00000391546	PI4KB
ENSP00000391540	KRIT1
ENSP00000245448	ATP5S
ENSP00000407297	BAG6
ENSP00000407296	CLPB
ENSP00000407295	PHF1
ENSP00000407294	TRIM26
ENSP00000407293	GATAD2A
ENSP00000407291	RNF39
ENSP00000407299	EXT1
ENSP00000417256	IVD
ENSP00000417257	FNDC3A
ENSP00000417254	RUVBL1
ENSP00000417255	CPA4
ENSP00000417252	PRKAG2
ENSP00000417253	PCCB
ENSP00000417250	POPDC2
ENSP00000417251	CCM2
ENSP00000417258	TMEM209
ENSP00000417259	TMEM129
ENSP00000426716	SPOCK3
ENSP00000426715	VCAN
ENSP00000426713	ALDH1L1
ENSP00000426711	CCDC30
ENSP00000426710	MTRR
ENSP00000255326	RNF17
ENSP00000426718	GC
ENSP00000346708	HCFC1R1
ENSP00000346702	AKAP12
ENSP00000346701	SYNE1
ENSP00000346700	IGSF11
ENSP00000346707	PREX2
ENSP00000376139	WDR45L
ENSP00000376138	RFXANK
ENSP00000376133	ZNF84
ENSP00000376132	MYO1B
ENSP00000376130	MYO1B
ENSP00000376137	STAT1
ENSP00000376136	STAT1
ENSP00000376135	ZNF605
ENSP00000376134	STAT4
ENSP00000412759	BX511012.1
ENSP00000412750	BZW2
ENSP00000390635	C1orf159
ENSP00000412752	OR4A47
ENSP00000390637	SLC14A1
ENSP00000412754	CYP2E1
ENSP00000412755	TRIM15
ENSP00000390632	MOG
ENSP00000390633	EGR1
ENSP00000341286	SLCO2B1
ENSP00000341285	HNRNPA1L2
ENSP00000341282	SYCE1
ENSP00000341280	JARID2
ENSP00000341289	TUBB2C
ENSP00000414752	PPARA
ENSP00000414753	COL20A1
ENSP00000414750	SKOR2
ENSP00000414751	ARPC4
ENSP00000414756	TCTN3
ENSP00000414757	ARL13A
ENSP00000414755	ZPBP
ENSP00000414758	BAI2
ENSP00000274118	CYP4V2
ENSP00000394029	TCEAL4
ENSP00000394028	SLC22A4
ENSP00000422768	GNB2L1
ENSP00000422769	DNAH10OS
ENSP00000394025	NUMB
ENSP00000394024	SCRN3
ENSP00000394027	HEMK1
ENSP00000422762	IBTK
ENSP00000394020	LRRC48
ENSP00000422760	TMEM175
ENSP00000446767	TPCN1
ENSP00000399560	NRM
ENSP00000371488	C1QTNF3
ENSP00000371489	C1QTNF9B
ENSP00000371483	SLC34A2
ENSP00000371481	TIMP3
ENSP00000442359	TMC1
ENSP00000442358	SCRN1
ENSP00000413405	PIGZ
ENSP00000399567	TIA1
ENSP00000413403	RADIL
ENSP00000413402	HMGN5
ENSP00000265154	ARHGEF38
ENSP00000442351	NLRP2
ENSP00000442350	UBE2D4
ENSP00000305810	STX18
ENSP00000442352	RIC3
ENSP00000442355	KIR3DL1
ENSP00000356119	LEMD1
ENSP00000413409	RBM34
ENSP00000413408	UPB1
ENSP00000306549	HSFY2
ENSP00000306548	MRPL13
ENSP00000264203	CAPZB
ENSP00000264202	CAPZB
ENSP00000264205	ECE1
ENSP00000301725	MLST8
ENSP00000383937	RPS9
ENSP00000383936	CEP57L1
ENSP00000383935	SCRN2
ENSP00000383934	RAB37
ENSP00000383933	FAM19A5
ENSP00000383932	LSP1
ENSP00000383931	GP5
ENSP00000383930	CYP19A1
ENSP00000388162	PRMT1
ENSP00000383939	SETD5
ENSP00000383938	CRELD2
ENSP00000343629	PRRC2C
ENSP00000415802	DDX39B
ENSP00000415805	AIF1
ENSP00000415807	PTPRE
ENSP00000415806	CDC123
ENSP00000415809	CCDC132
ENSP00000415808	RPL7
ENSP00000343625	ZNF880
ENSP00000259234	SAP130
ENSP00000259235	SAP130
ENSP00000259237	BIN1
ENSP00000259238	BIN1
ENSP00000259239	IMP4
ENSP00000409332	ISCA1
ENSP00000409333	TRAK2
ENSP00000409330	ARHGAP27
ENSP00000409331	ARPP21
ENSP00000274459	ATG12
ENSP00000274458	COMMD10
ENSP00000409335	DROSHA
ENSP00000393555	FGFR1OP
ENSP00000393556	AC005035.1
ENSP00000274456	TNFAIP8
ENSP00000393550	KIAA1210
ENSP00000393551	LUC7L
ENSP00000393552	ZNF692
ENSP00000393553	PTPRA
ENSP00000328422	AC078953.1
ENSP00000328423	C15orf60
ENSP00000328420	IL1F8
ENSP00000432548	ZNF48
ENSP00000328426	C10orf18
ENSP00000432543	PBXIP1
ENSP00000432542	RPS3
ENSP00000432541	CTSC
ENSP00000432540	VAV3
ENSP00000432547	WDR65
ENSP00000432546	EXPH5
ENSP00000432545	NANOGP1
ENSP00000432544	WHSC1L1
ENSP00000414497	IGF2
ENSP00000261353	YPEL5
ENSP00000362635	FGD2
ENSP00000344392	CLUAP1
ENSP00000344393	FCF1
ENSP00000376919	LUC7L3
ENSP00000376918	WFIKKN2
ENSP00000376915	MTMR2
ENSP00000376914	ATP2C1
ENSP00000376916	JPH3
ENSP00000376911	LGMN
ENSP00000376910	LRRIQ1
ENSP00000376913	SETX
ENSP00000377527	PC
ENSP00000362634	TSSK3
ENSP00000408060	HMGN5
ENSP00000408062	EIF3B
ENSP00000408065	CHEK2
ENSP00000408067	DDX39B
ENSP00000408066	LRRC23
ENSP00000408068	MMS19
ENSP00000427947	TMEM67
ENSP00000387308	SLC3A1
ENSP00000387309	CHST10
ENSP00000287820	PPARG
ENSP00000399087	CHRNA7
ENSP00000387300	DACT3
ENSP00000387301	CCDC115
ENSP00000387303	TDRD9
ENSP00000387305	NUP35
ENSP00000387307	RAB6C
ENSP00000380657	EIF4ENIF1
ENSP00000380654	EIF4ENIF1
ENSP00000380653	PSIP1
ENSP00000380652	EIF4ENIF1
ENSP00000380651	STK24
ENSP00000380650	UBE2I
ENSP00000427942	TSPAN18
ENSP00000380659	EIF4ENIF1
ENSP00000380658	CEP250
ENSP00000373242	MAP4
ENSP00000373243	MAP4
ENSP00000373240	PFKFB4
ENSP00000373246	NBEAL2
ENSP00000373244	CSPG5
ENSP00000373245	SCAP
ENSP00000373248	ALS2CL
