P15880	RPS2
I3L112	DGKE
Q5SVJ8	KCNMA1
P54289-5	CACNA2D1
Q5JTU8	CDK5RAP2
H3BPV2	TMEM62
H0Y9N3	AGXT2L2
C9JVA3	C2orf53
K7EM44	TRIM65
E5RJ31	RBPMS
Q96P15-3	SERPINB11
H7C5V4	RNF217
Q92990	GLMN
F5GYT8	MCCC1
C9JQR6	PTK7
A6NNE9	MARCH11
P04436	None
F6XEV2	MICU1
J3QLV6	CORO6
G3V0I7	ALS2CL
H3BRG9	HERC2
A6NJG6	ARGFX
E9PF51	OTOA
P00973-2	OAS1
H7C4J3	SLC37A3
F8WF93	ALG3
A6NCD4	C10orf131
A2IDA2	RHBDF1
J3KPH0	OR52E6
H0Y9G8	SEPT11
H0YKM5	HMG20A
P78534	WARS
H3BVE9	GPR56
J3KRT2	CCDC102B
Q5TDG9	DNAJC16
Q8IWV7-2	UBR1
Q14031-2	COL4A6
E9PGH4	TLR3
C9JTY1	AGBL5
H7C4I3	RUVBL1
Q9Y277-2	VDAC3
Q9UHF0	TAC3
Q9UM54-2	MYO6
P16499	PDE6A
Q5QNW6	HIST2H2BF
O00534-3	VWA5A
Q8NGC6	OR4K17
H0YFH3	C1R
Q96EU6	RRP36
D6RF06	None
H0YC36	CDK16
P03905	MT-ND4
Q96NB1	FOPNL
D6RGY7	KCNN2
D6RJC3	INPP4B
H0YHU6	None
H0Y892	ZNF782
H0Y7N8	BCAP29
C9JEF4	HDAC6
F5H797	NOL8
Q9Y6J9	TAF6L
E7EW38	EGR3
Q9NZN8-4	CNOT2
Q6NV75	GPR153
H0YJ20	LTBP2
E5RIV5	LGI3
E9PRS2	MYB
Q9UIQ6-2	LNPEP
P35372-3	OPRM1
P61571	None
Q12906-5	ILF3
E5RG65	POLB
Q8IVN3	MUSTN1
C9JB28	SLC39A5
J3KN30	P2RX7
K7ERQ8	None
C9JY06	NUDT22
K7ELQ3	APC2
Q8NHP6-2	MOSPD2
Q8NBQ7	AQP11
B4DGB8	WSB1
A6NHR2	MRPL37
D6RGE5	CSNK1A1
I3L2D4	RNF167
H3BNP6	ADAD2
H7C001	OSBP2
E9PI26	GTF2H1
F5H6Y8	GPR137
O75044	SRGAP2
Q3ZCT8-2	KBTBD12
F5H3C0	SLC12A4
F5H780	TXNRD1
A6NEJ1	SSX10
Q15642-2	TRIP10
O60779-2	SLC19A2
C9JMH6	SERPINF2
Q5VSF5	GRIN1
F6VCB7	C10orf118
B1B1G3	PLP1
D6RF54	USP53
Q9BXS0-3	COL25A1
G3V4P9	MAP3K9
F8WBP7	RANBP2
C9JLA3	ASNS
Q8N6Q1	TMCO5A
G3V4P3	None
G3V2U2	C14orf93
E7ESS3	TMUB2
Q9Y653-2	GPR56
Q9NYV7	TAS2R16
Q9Y3D8	TAF9
H0Y485	IGFBP3
Q01064-2	PDE1B
Q96DA2	RAB39B
C9JLC3	SH3TC2
Q9H9P8-2	L2HGDH
Q6PHW0-3	IYD
F8WEE6	TRIM37
A6NG35	ATF6B
Q12765-2	SCRN1
Q5W0Z9-2	ZDHHC20
G8JLD6	PRICKLE4
B7Z285	RGS11
P51679	CCR4
Q5TCX8-3	MLK4
E9PNP4	RDX
P48449	LSS
Q6UY11	DLK2
B0QYS6	TFEB
Q9NQH7	XPNPEP3
G3V4I0	ENTPD5
D6RBN8	FGFRL1
Q8TED0	UTP15
E5RH37	ZFAT
Q6DN72	FCRL6
P0DH78	RNF224
O95793-3	STAU1
Q2KHT4-3	GSG1
Q9BXN2-7	CLEC7A
C9J031	MKRN1
H3BVF2	STOML1
Q8NHL6-3	LILRB1
Q9Y6Q9	NCOA3
Q5JR05	RHOC
H0YMH6	RFX7
P26012	ITGB8
F8W6E4	GPD2
H0YHQ4	MORC3
Q9UEG4	ZNF629
F8WF14	BCHE
G3V4Y0	KLHL28
P0DI82	TRAPPC2P1
Q14168-2	MPP2
H3BS97	C16orf58
Q96G75	RMND5B
P51991	HNRNPA3
C9JR83	SMC4
Q15761	NPY5R
B3KTX9	C2
F8WB35	TRMT2A
E7ETP7	ELN
Q9Y5B0-2	CTDP1
H3BUK2	FTSJD1
H7BYL6	AKAP9
O94966-2	USP19
H0Y4V4	BTNL2
F5H694	CYP2E1
K7EK83	PIGN
B7Z5D8	TPI1
P24530	EDNRB
H7C3X0	MGEA5
H0Y7R7	NT5E
E9PJF5	BRMS1
P48061-6	CXCL12
E5RJ27	TPD52
Q9NZC4-2	EHF
E7EV01	CAPN5
B4DH21	CCNT2
Q9Y673	ALG5
E9PMY6	NOX4
E9PPA0	CHID1
E9PML3	AHI1
Q96FC9-5	DDX11
C9JCN9	HSBP1L1
I3L1L4	ZFP90
B4DKF8	PSD3
D3YTD3	PEX13
P60008	HILS1
P61158	ACTR3
E9PIW2	DLG2
B0QYY4	RBM9
C9JAE4	PLCD4
O94972	TRIM37
Q9NRW4-2	DUSP22
K7EQL2	MFSD11
Q5TEZ4	C6orf164
I3L4A6	MLKL
C9J9M4	PSMD1
P57077	TAK1L
C9JCJ2	PBRM1
P14416-3	DRD2
C9JI33	CHST10
C9IYB7	SENP2
B4DP57	NUP35
E5RJH7	ZNF596
P07949-2	RET
O00203-2	AP3B1
H7C2C2	NGEF
H3BQQ6	FAM192A
E9PBU0	RBKS
F5H159	OBP2A
H0Y3S0	LIPI
Q8TDW4-2	ST7L
Q5T2B4	CUL2
F8VPL6	IKZF4
P49247	RPIA
C9J6M2	GAL3ST1
H0YAK3	CDH18
K7EMD9	KRT13
Q8IYT1	FAM71A
P22303-2	ACHE
Q96KH6	C18orf12
O94900	TOX
Q9HDB5-3	NRXN3
Q9UHR4	BAIAP2L1
E9PKX1	ZCCHC11
Q17R89	ARHGAP44
Q14149	MORC3
H0Y701	CCDC171
P01258-2	CALCA
Q9Y6J8-3	STYXL1
H0Y6Z9	COMMD3
H7BYY1	TPM1
O43915	FIGF
Q6PF18-2	MORN3
Q5T6P2	SLAIN1
C9J3K5	FAM134A
E5RFX6	SPINK7
H0YGU3	RETSAT
Q9BY14	TEX101
F5GYK6	ABCF1
D6RB03	DNAJC18
E9PRI1	MUS81
Q8TDC0	MYOZ3
F8WC14	CHCHD5
Q0D2K0	NIPAL4
H3BMP2	BFAR
Q9NQ90	ANO2
F8W6X5	AGPHD1
Q8N697	SLC15A4
P39900	MMP12
Q8NCW6-2	GALNT11
Q71SY5-2	MED25
Q5T0J7-3	Tex35
P08236	GUSB
B3KWA8	ADCY5
Q6NZI2	PTRF
Q96A73-3	KIAA1191
D6R9X6	SLC41A3
D6RJF3	PANK4
Q5VYS8	ZCCHC6
E9PRW4	SLCO2B1
E9PKY0	CTNND1
D6RIG9	CDK7
F5GYN7	ZRANB3
O75783-2	RHBDL1
G3V3X4	GMFB
Q15329-3	E2F5
F8WA55	ABI1
Q8N3S3	PHTF2
Q9BZJ0-3	CRNKL1
Q9H9M0	GFM1
Q8NB66	UNC13C
C9JXZ1	ATP1B3
F8WBE9	RAB17
I3L464	NDE1
H0Y5N1	FRMD5
E9PLT3	TXNRD1
C9JH25	PRRT4
C9J1E8	CCDC172
F8VS60	LETMD1
H7C5T7	POPDC2
Q9HBJ8	TMEM27
B4DHX2	AGTPBP1
Q9Y2Q1-2	ZNF257
H0YNE9	RAB8B
H0Y7K4	BAG6
A8MT20	GRM5
E9PP57	None
Q8IYB9	ZNF595
D6RGH6	MCIN
Q8NHW4-9	CCL4L1
Q13936-31	CACNA1C
P21731-2	TBXA2R
E9PBB9	MAPK8IP1
Q6ZMY6-2	WDR88
P27986-4	PIK3R1
B4DUD2	TMBIM1
Q9Y4C0-4	NRXN3
P51114-3	FXR1
H0YHM8	None
H3BP95	NUP93
J3QL47	FAM18B2
H0YAA2	PLRG1
F2Z361	MRPS14
D6RC62	TCP10
G3XAJ5	LARP1B
D6RGD2	CDKN2AIP
H0YKM0	RASGRP1
C9J9D7	SIAH2
Q9H0A0	NAT10
Q8WVD3-2	RNF138
C9JQC4	OXTR
F8WDF1	SAMD7
E9PD49	ROBO1
Q5JXB2	UBE2NL
Q9NP99-2	TREM1
E9PMV5	SLFN13
Q9H330-2	TMEM245
B7Z233	ACAT2
Q5DX21	IGSF11
Q5VVJ2-2	MYSM1
K7EIF5	SLC7A9
P07814	EPRS
Q8NE22-2	SETD9
E9PJA3	HINFP
Q06124	PTPN11
I3L1Z8	CNTROB
G3V481	AJUBA
H3BQP5	EDC3
Q08999	RBL2
F8WAX3	DEPDC5
J3QR32	FAM222B
B4E0P1	PSMB7
B4DVA4	ARMC7
P51452	DUSP3
Q9BYN8	MRPS26
Q04726-3	TLE3
C9J2N0	PFN2
P11908	PRPS2
C9JM25	SORBS2
Q5T5M9-2	CCNJ
H3BQ26	ZNF19
B4DXC8	NME7
F5H8G7	SYT7
H0Y7F0	CAST
F8VZZ3	ANKRD13A
G3V3K8	MIPOL1
A2A2B2	BAIAP3
Q9BZA7-3	PCDH11X
J3KRH1	SUMO2
H0Y6G3	WDR46
C9JAF1	MFF
Q7Z4U5-3	C6orf201
B5MDS5	APC2
B4DN89	SFRS2
Q9BW85	CCDC94
F6U6E2	DDX39B
D6RIF4	GPM6A
H3BNS4	NUBP2
A2RUC4	TYW5
Q5VVM6-2	CCDC30
F5H0N8	PTPN6
H0YB73	UBE2W
E9PQB4	OSBPL5
F5H5P2	None
Q8NC38	C1orf213
B1ALG1	SMARCA2
Q86YL7	PDPN
P21860-5	ERBB3
H3BTI9	PHKG2
E9PG46	AAK1
O14727-3	APAF1
H7C093	DOK1
H0Y7A8	C9orf3
C9JXX4	IGFBP5
Q9H410-2	DSN1
Q14409	GK3P
P05156	CFI
I3L109	FAM18A
G3V330	LOC100506499
H0Y9E6	CENPH
F8VWU0	DCN
P30518	AVPR2
E9PBB5	TFF3
H0YFH9	PLCZ1
C9JK38	CFLAR
F8WC42	TIMMDC1
H3BS25	SCAPER
Q2TBA0-2	KBTBD5
C9J8P4	OSBPL3
P18075	BMP7
E9PP60	TSTA3
C9JDX6	DNAJB6
A8MV23-2	SERPINE3
E9PFP1	PIK3R2
Q8NGB6	OR4M2
Q6PJG6-2	BRAT1
C9J875	IPO5
Q5QPB1	ZFAND5
J3QRD1	ALDH3A2
C9JSN6	MAPT
Q5VYS8-4	ZCCHC6
Q02952-3	AKAP12
Q30201	HFE
Q99732	LITAF
P58401	NRXN2
P18577-8	RHCE
Q06455-3	RUNX1T1
P30990	NTS
P01911	HLA-DRB1
Q14140	SERTAD2
Q5JUU8	NEBL
Q9BQE5	APOL2
F8WC61	MSL3
P02751-10	FN1
B4DWB0	NUBPL
Q8NGC5	OR6J1
B1AK46	MAD2L2
B3KWE4	LYSMD4
E9PLG0	GEN1
F8W099	None
C9JP00	MBNL1
P06881	CALCA
H0YCZ5	SLC25A26
J3KSL3	STARD3
O75155-2	CAND2
P48380-3	RFX3
E7EQX5	HLA-B
E5RGE8	HMP19
H7C3I3	DEPDC5
Q86XA0	METTL23
Q71UI9-2	H2AFV
Q9BWH6-2	RPAP1
F8WCH4	LYPD6B
Q6ZSG2	FAM196A
H0YEX3	TESPA1
Q96KD3-2	FAM71F1
P19404	NDUFV2
E9PMP2	PAK1
H0Y3K0	KPNA5
E9PKQ4	MED17
F5H2Q7	KIAA1715
H7C4G1	CCNL1
E7EWV3	SPAG16
H7C1X3	PAK2
P12955-2	PEPD
F5GWS9	ORAOV1
H3BTJ0	C1orf63
J3QL60	SLC7A6
Q53EP0-2	FNDC3B
B7ZBM8	STX16
Q2M329	CCDC96
Q9GZQ8	MAP1LC3B
F2Z2H4	ZFAND4
O60262	GNG7
A6NP16	AMOT
H0YDX2	EMC7
H0YHF5	None
A4D1S5-2	RAB19
Q6QAJ8	TMEM220
Q6ZN84	CCDC81
Q9NY84-3	VNN3
C9K0P4	RASGRP3
F8WES7	SUMF2
E9PQR8	EEF1D
Q15435	PPP1R7
F8WFE0	C7orf43
D6RGV2	IL7R
Q99501-3	GAS2L1
H0YBS4	FBXO25
P29466-2	CASP1
Q7Z6B0-2	CCDC91
Q8NDH3-5	NPEPL1
I3L3R0	LCAT
Q9BV29-2	C15orf57
Q9UPQ7-2	PDZRN3
Q70EL2	USP45
I3L151	GLP2R
F5H4X0	SCARB1
A8MXE8	RAI1
Q08499-7	PDE4D
O15165-7	LDLRAD4
F8W667	SART3
